name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
King's Head,10 Stafford Street,London,Mayfair,E09000033,City of Westminster,,E05000649,West End,,-0.14127932741738639,51.50867650715989,529087.9650248048,180497.92388979695,01/19/2020
Genuine Liquorette,"6 Rathbone Place,",London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13295603981146248,51.51662876859892,529642.9648724548,181396.92364392476,01/19/2020
Wheatsheaf,25 Rathbone Place,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13393278582626134,51.51776839982772,529571.9648917138,181521.92361019034,01/19/2020
Bourne & Hollingsworth,28 Rathbone Place,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13422939772512255,51.517917001213036,529550.9648974452,181537.92360592185,01/19/2020
Newman Arms,23 Rathbone Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13525769963904974,51.51814917695762,529478.964917033,181561.92359957326,01/19/2020
Marquis of Granby,2 Rathbone Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13486730993603063,51.51817894126482,529505.9649097088,181565.92359846632,01/19/2020
Duke Of York,47 Rathbone Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13598433957880104,51.51870928190792,529426.964931406,181622.92358319223,01/19/2020
Nordic Bar,25 Newman Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.1355128566756179,51.51790143671433,529461.9649215522,181533.92360713385,01/19/2020
Mr Fogg's House of Botanicals,48 Newman Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13653951519409727,51.51887997157522,529387.96494207,181640.92357836664,01/19/2020
Bricklayers Arms,31 Gresse Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.1333998261395764,51.51775992086965,529608.9648817249,181521.9236101255,01/19/2020
Queen Charlotte,43 Goodge Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13571743155053242,51.51924460341107,529443.96492701,181682.9235670176,01/19/2020
Bradleys Spanish Bar,44 Hanway Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.1326229102124789,51.51666842976995,529665.9648662334,181401.92364252196,01/19/2020
Hope,15 Tottenham Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13536829260990507,51.52038112936018,529464.9649217989,181809.92353281856,01/19/2020
Rising Sun,46 Tottenham Court Road,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.1333121998179736,51.51919736259385,529610.9648818012,181681.92356705188,01/19/2020
Fitzroy Tavern,16A Charlotte Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13460075987481068,51.5187052737292,529522.9649053547,181624.92358255922,01/19/2020
Fitzrovia,18 Goodge Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13500175905738715,51.51982674671767,529491.9649142382,181748.92354924,01/19/2020
Percy & Founders,1 Pearson Square,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13830836231592086,51.518979999501546,529264.9649755157,181648.92357627605,01/19/2020
Blue Posts,81 Newman Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13542801530159146,51.51680297663174,529470.96491892,181411.9236401195,01/19/2020
Champion,13 Wells Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13728247033092414,51.516922366942154,529341.964954024,181421.92363759928,01/19/2020
Adam & Eve,77A Wells Street,London,Fitzrovia,E09000033,City of Westminster,,E05000649,West End,,-0.13745815493145921,51.51650249943594,529330.9649571432,181374.92365043506,01/19/2020
Carpenters Arms,68-70 Whitfield Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13650703397479236,51.52179309536889,529381.9649448375,181964.92349098937,01/19/2020
One Tun,58-60 Goodge Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.1368162342969244,51.51916314136987,529367.9649476104,181671.92357001372,01/19/2020
Court,108a Tottenham Court Road,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13699233939742123,51.52296985614671,529344.9649552767,182094.92345586326,01/19/2020
